Chriss Santi
Amen Amegnona


Fichier utilisé: GJ.txt


Nombre de tweets:  93
Polarité tweet  1 :  -3
Polarité tweet  2 :  0
Polarité tweet  3 :  0
Polarité tweet  4 :  0
Polarité tweet  5 :  0
Polarité tweet  6 :  0
Polarité tweet  7 :  0
Polarité tweet  8 :  0
Polarité tweet  9 :  0
Polarité tweet  10 :  0
Polarité tweet  11 :  0
Polarité tweet  12 :  0
Polarité tweet  13 :  0
Polarité tweet  14 :  0
Polarité tweet  15 :  -1
Polarité tweet  16 :  0
Polarité tweet  17 :  0
Polarité tweet  18 :  0
Polarité tweet  19 :  0
Polarité tweet  20 :  0
Polarité tweet  21 :  0
Polarité tweet  22 :  0
Polarité tweet  23 :  -1
Polarité tweet  24 :  0
Polarité tweet  25 :  -3
Polarité tweet  26 :  0
Polarité tweet  27 :  0
Polarité tweet  28 :  0
Polarité tweet  29 :  0
Polarité tweet  30 :  -3
Polarité tweet  31 :  0
Polarité tweet  32 :  -3
Polarité tweet  33 :  -3
Polarité tweet  34 :  0
Polarité tweet  35 :  0
Polarité tweet  36 :  0
Polarité tweet  37 :  0
Polarité tweet  38 :  -1
Polarité tweet  39 :  -3
Polarité tweet  40 :  0
Polarité tweet  41 :  -2
Polarité tweet  42 :  0
Polarité tweet  43 :  -2
Polarité tweet  44 :  -3
Polarité tweet  45 :  0
Polarité tweet  46 :  0
Polarité tweet  47 :  0
Polarité tweet  48 :  -1
Polarité tweet  49 :  0
Polarité tweet  50 :  -3
Polarité tweet  51 :  0
Polarité tweet  52 :  0
Polarité tweet  53 :  -3
Polarité tweet  54 :  -3
Polarité tweet  55 :  0
Polarité tweet  56 :  0
Polarité tweet  57 :  0
Polarité tweet  58 :  0
Polarité tweet  59 :  0
Polarité tweet  60 :  0
Polarité tweet  61 :  0
Polarité tweet  62 :  0
Polarité tweet  63 :  0
Polarité tweet  64 :  0
Polarité tweet  65 :  0
Polarité tweet  66 :  0
Polarité tweet  67 :  0
Polarité tweet  68 :  0
Polarité tweet  69 :  0
Polarité tweet  70 :  0
Polarité tweet  71 :  0
Polarité tweet  72 :  0
Polarité tweet  73 :  0
Polarité tweet  74 :  0
Polarité tweet  75 :  0
Polarité tweet  76 :  0
Polarité tweet  77 :  0
Polarité tweet  78 :  -3
Polarité tweet  79 :  0
Polarité tweet  80 :  -3
Polarité tweet  81 :  0
Polarité tweet  82 :  -3
Polarité tweet  83 :  0
Polarité tweet  84 :  0
Polarité tweet  85 :  -3
Polarité tweet  86 :  -3
Polarité tweet  87 :  -2
Polarité tweet  88 :  -3
Polarité tweet  89 :  -3
Polarité tweet  90 :  -3
Polarité tweet  91 :  0
Polarité tweet  92 :  -3
Polarité tweet  93 :  0
